Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Descripción del proyecto;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;001;015;16101;60301;2014/000140;2014/040140;HIDRANTES DISTRITO HORTALEZA. INSTALACIÓN;216;HORTALEZA;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;0,00;13.528,70;13.528,70;0,00;0,00;13.528,70;13.528,70;13.528,70;0,00;4.396,22
;;001;015;16101;60301;2014/000140;2014/050140;HIDRANTES DISTRITO CARABANCHEL. INSTALACIÓN;211;CARABANCHEL;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;0,00;14.914,72;14.914,72;0,00;0,00;14.914,72;14.914,72;14.914,72;0,00;10.562,08
;;001;015;16101;60301;2014/000140;2014/060140;HIDRANTES DISTRITO SALAMANCA. INSTALACIÓN;204;SALAMANCA;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;0,00;7.907,60;7.907,60;0,00;0,00;7.907,60;7.907,60;7.907,60;0,00;7.907,60
;;001;015;16101;60301;2014/000140;2014/070140;HIDRANTES DISTRITO CHAMBERÍ. INSTALACIÓN;207;CHAMBERI;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;0,00;12.176,44;12.176,44;0,00;0,00;12.176,44;12.176,44;12.176,44;0,00;12.176,44
;;001;015;16101;60301;2014/000140;2014/080140;HIDRANTES DISTRITO BARAJAS. INSTALACIÓN;221;BARAJAS;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;0,00;4.221,09;4.221,09;0,00;0,00;4.221,09;4.221,09;4.221,09;0,00;4.221,09
;;001;015;16101;60301;2014/000140;2014/090140;HIDRANTES DISTRITO VILLA DE VALLECAS. INSTALACIÓN;218;VILLA DE VALLECAS;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;0,00;3.722,70;3.722,70;0,00;0,00;3.722,70;3.722,70;3.722,70;0,00;3.722,70
;;001;015;16101;60301;2014/000140;2014/100140;HIDRANTES DISTRITO CENTRO. INSTALACIÓN;201;CENTRO;08;MANTENIMIENTO URBANO;02;VÍAS PÚBLICAS;;;;;;;0,00;3.749,34;3.749,34;0,00;0,00;3.749,34;3.749,34;3.749,34;0,00;3.749,34
;;001;015;16101;60600;2013/000313;2013/000313;ACTUACIÓN MEDIOAMBIENTAL PARA AMPLIACIÓN USOS RECREATIVOS RÍO MANZANARES;217;VILLAVERDE;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;;;;;;;500.000,00;0,00;500.000,00;478.830,81;0,00;21.169,19;21.169,19;21.169,19;0,00;21.169,19
;;001;015;16101;60600;2014/000340;2014/000340;ESTADIO DE MADRID. URBANIZACIÓN ACCESOS Y CONEXIONES;220;SAN BLAS-CANILLEJAS;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;;;;;;;0,00;250.000,00;250.000,00;2.533,03;0,00;247.466,97;247.466,97;0,00;0,00;0,00
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;015;16101;60603;2005/000655;2005/000655;PARQUE VALDEBEBAS. CONSTRUCCIÓN;216;HORTALEZA;09;MEDIO AMBIENTE;00;PARQUES;;;;;;;0,00;5.940.500,99;5.940.500,99;3.968.521,96;0,00;1.971.979,03;1.737.628,08;546.349,55;0,00;399.066,81
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;015;16101;60603;2011/000344;2011/000344;ENSANCHE DE VALLECAS UZP 1.03.  PLANTACIÓN DE ARBUSTOS Y REDES DE RIEGO;218;VILLA DE VALLECAS;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;;;;;;;0,00;1.653.487,08;1.653.487,08;1.653.487,08;0,00;0,00;0,00;0,00;0,00;0,00
;;001;015;16101;60999;2006/000935;2006/000935;PASARELAS PEATONALES  ENTRE ENLACE O´DONNELL Y PUENTE DE LOS TRES OJOS;998;VARIOS DISTRITOS;07;INFRAESTRUCTURAS;04;CONSTRUCCIÓN PASARELAS PEATONALES;;;;;;;0,00;168.532,88;168.532,88;0,00;0,00;168.532,88;168.532,88;168.532,88;0,00;168.532,88
;;001;015;16101;61100;2014/000449;2014/000449;ACONDICIONAMIENTO CAMINO CAÑADA DE LAS CANTERAS;218;VILLA DE VALLECAS;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;;;;;;;0,00;60.000,00;60.000,00;840,51;0,00;59.159,49;59.159,49;59.159,49;0,00;0,00
;;001;015;16101;61100;2014/000452;2014/000452;PASOS TRANSVERSALES Y CUNETAS CARRETERA VICÁLVARO-COSLADA.ACONDICIONAMIENTO;219;VICALVARO;09;MEDIO AMBIENTE;07;DESARROLLO MEDIO AMBIENTAL, SOSTENIBILIDAD;;;;;;;0,00;60.000,00;60.000,00;4.268,83;0,00;55.731,17;55.731,17;55.731,17;0,00;0,00
;;001;015;16101;61301;2014/000432;2014/010432;ACTUACIONES RED AGUA REGENERADA PLAZA DE FERNÁNDEZ LADREDA;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;03;ALCANTARILLADO Y COLECTORES;;;;;;;0,00;3.388,00;3.388,00;0,00;0,00;3.388,00;3.388,00;3.388,00;0,00;3.388,00
;;001;032;13201;63300;2014/000303;2014/000303;OTRA MAQUINARIA PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;21.423,24;21.423,24;0,00;0,00;21.423,24;21.423,24;21.423,24;0,00;21.423,24
;;001;032;13401;62300;2014/000083;2014/000083;ADQUISICIÓN DE MAQUINARIA PARA EL SAMUR PROTECCIÓN CIVIL;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;150.000,00;-4.449,50;145.550,50;3.102,92;0,00;142.447,58;142.447,58;142.364,53;0,00;87.414,03
;;001;032;13401;62400;2014/000085;2014/000085;VEHÍCULOS SAMUR - PROTECCIÓN CIVIL. ADQUISICIÓN;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;200.000,00;-3.688,88;196.311,12;0,00;0,00;196.311,12;196.311,12;196.311,12;0,00;49.916,13
;;001;032;13401;62500;2014/000235;2014/000235;MOBILIARIO PARA EL CENTRO INTEGRADO DE SEGURIDAD Y EMERGENCIAS;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;032;13401;62500;2014/000404;2014/000404;EQUIPAMIENTO CENTRO INTEGRAL SEGURIDAD Y EMERGENCIAS - SAMUR-PROTECCIÓN CIVIL;204;SALAMANCA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;0,00;2.026,92;2.026,92;0,00;0,00;2.026,92;2.026,92;2.026,92;0,00;2.026,92
;;001;032;13401;62600;2014/000084;2014/000084;EQUIPOS DE COMUNICACIÓN SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;133.000,00;-21.660,00;111.340,00;734,83;0,00;110.605,17;110.605,17;107.589,85;0,00;93.202,30
;;001;032;13401;62999;2014/000096;2014/000096;ADQUISICIÓN MATERIAL PROTECCIÓN AGENTES CONTAMINANTES SAMUR PROTECCIÓN-CIVIL;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;20.000,00;-539,33;19.460,67;0,00;0,00;19.460,67;19.460,67;19.460,67;0,00;14.644,87
;;001;032;13401;63400;2014/000095;2014/000095;AUTOBUS SAMUR - PROTECCIÓN CIVIL. ADAPTACIÓN;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;200.000,00;-167,29;199.832,71;0,00;13.492,71;186.340,00;186.340,00;186.340,00;0,00;0,00
;;001;032;13401;63600;2014/000084;2014/000084;EQUIPOS DE COMUNICACIÓN SAMUR - PROTECCIÓN CIVIL;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;62.000,00;21.652,67;83.652,67;0,00;0,00;83.652,67;83.652,67;82.409,08;0,00;41.296,62
;;001;065;33403;61900;2014/000120;2014/000120;MONUMENTO A LAS VÍCTIMAS DEL 11-M DE ATOCHA. REFORMA;203;RETIRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;195.000,00;-195.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33403;61900;2014/000121;2014/000121;MONUMENTO A ALFONSO XII. RESTAURACIÓN;203;RETIRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;150.000,00;-150.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33403;61900;2014/000122;2014/000122;IGLESIA DE LAS MARAVILLAS. RESTAURACIÓN;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;;;;;;;150.000,00;-147.010,88;2.989,12;0,00;0,00;2.989,12;2.989,12;2.989,12;0,00;2.989,12
;;001;065;33403;61900;2014/000123;2014/000123;RESTAURACIÓN DE LA MURALLA ISLÁMICA;201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;149.000,00;-128.520,75;20.479,25;0,00;0,00;20.479,25;20.479,25;20.479,25;0,00;20.479,25
;;001;065;33403;61900;2014/000166;2014/000166;MUSEO DE HISTORIA DE MADRID. REHABILITACIÓN ZONA CAPILLA;201;CENTRO;10;CULTURA;02;MUSEOS Y COLECCIONES;;;;;;;350.000,00;-350.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33403;61900;2014/000433;2014/000433;ESCULTURA A BLAS DE LEZO, PZA. DEL DESCUBRIMIENTO. INSTALACIÓN;204;SALAMANCA;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;17.235,97;17.235,97;17.235,97;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33403;62200;2006/000765;2006/000765;BIBLIOTECA MUNICIPAL ORCASUR. AMPLIACIÓN;212;USERA;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;1.223.000,00;75.200,00;1.298.200,00;5,31;131.861,67;1.166.333,02;1.166.333,02;1.066.607,51;0,00;1.066.607,51
;;001;065;33403;62301;2014/000357;2014/000357;COMPLEJO CONDE DUQUE. INSTALACIONES DE SEGURIDAD;201;CENTRO;10;CULTURA;03;CENTROS CULTURALES;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33403;62301;2014/000358;2014/000358;TEATRO MADRID, AV. MONFORTE DE LEMOS 60. INSTALACIONES;208;FUENCARRAL-EL PARDO;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;;;;;;;0,00;6.359,58;6.359,58;0,00;0,00;6.359,58;6.359,58;6.359,58;0,00;6.359,58
;;001;015;16101;62700;2013/000253;2013/000253;CONEXIÓN REDES DE AGUA REGENERADA O´DONELL-RETIRO. SUMINISTRO ALTERNATIVO;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;;;;;;;625.000,00;0,00;625.000,00;545.000,00;0,00;80.000,00;80.000,00;80.000,00;0,00;0,00
;;001;015;16101;62700;2013/000301;2013/000301;AMPLIACIÓN TERCIARIO ERAR LA GAVIA;218;VILLA DE VALLECAS;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;;;;;;;4.500.000,00;0,00;4.500.000,00;2.910.368,99;0,00;1.589.631,01;1.589.631,01;1.589.077,02;0,00;528.663,26
;;001;015;16101;62799;2014/007289;2014/007289;IFS-APROVECHAMIENTO AGUAS RESIDUALES PARA CLIMATIZACIÓN CENTRO DEPORTIVO MORATALAZ;214;MORATALAZ;09;MEDIO AMBIENTE;04;INSTALACIONES PARA LA DEPURACIÓN DEL AGUA;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;450.000,00;450.000,00;450.000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;015;16501;61400;2010/000101;2010/000101;ADAPTACIÓN INSTALACIONES DE ALUMBRADO PÚBLICO A NORMATIVA;998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;846.071,00;-844.784,38;1.286,62;1.281,12;0,00;5,50;5,50;0,00;0,00;0,00
;;001;015;16501;61400;2010/000101;2010/010101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. CENTRO;201;CENTRO;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;3.555,07;3.555,07;0,00;0,00;3.555,07;3.555,07;3.555,07;0,00;0,00
;;001;015;16501;61400;2010/000101;2010/020101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. ARGANZUELA;202;ARGANZUELA;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;1.235,48;1.235,48;0,00;0,00;1.235,48;1.235,48;1.235,48;0,00;0,00
;;001;015;16501;61400;2010/000101;2010/030101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. RETIRO;203;RETIRO;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;6,91;6,91;0,00;0,00;6,91;6,91;6,91;0,00;0,00
;;001;015;16501;61400;2010/000101;2010/040101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. SALAMANCA;204;SALAMANCA;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;155.367,60;155.367,60;0,00;0,00;155.367,60;155.367,60;155.367,60;0,00;123.846,09
;;001;015;16501;61400;2010/000101;2010/050101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. CHAMARTÍN;205;CHAMARTIN;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;399.821,93;399.821,93;0,00;0,00;399.821,93;399.821,93;399.821,93;0,00;330.790,74
;;001;015;16501;61400;2010/000101;2010/060101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. TETUÁN;206;TETUAN;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;5.539,67;5.539,67;0,00;0,00;5.539,67;5.539,67;5.539,67;0,00;1.080,36
;;001;015;16501;61400;2010/000101;2010/070101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. CHAMBERÍ;207;CHAMBERI;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;24.740,99;24.740,99;0,00;0,00;24.740,99;24.740,99;24.740,99;0,00;0,00
;;001;015;16501;61400;2010/000101;2010/080101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO NORMATIVA.FUENCARRAL-EL PARDO;208;FUENCARRAL-EL PARDO;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;408,34;408,34;0,00;0,00;408,34;408,34;408,34;0,00;0,00
;;001;015;16501;61400;2010/000101;2010/090101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. MONCLOA-ARAVACA;209;MONCLOA-ARAVACA;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;19.120,26;19.120,26;0,00;0,00;19.120,26;19.120,26;19.120,25;0,00;0,00
;;001;015;16501;61400;2010/000101;2010/100101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. LATINA;210;LATINA;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;156.225,65;156.225,65;0,00;0,00;156.225,65;156.225,65;156.225,65;0,00;96.584,84
;;001;015;16501;61400;2010/000101;2010/110101;ADAPTACIÓN INSTALACIONES ALUMBRADO PÚBLICO A NORMATIVA. CARABANCHEL;211;CARABANCHEL;08;MANTENIMIENTO URBANO;00;ALUMBRADO PÚBLICO;;;;;;;0,00;72.816,01;72.816,01;0,00;0,00;72.816,01;72.816,01;72.816,01;0,00;51.723,86
