Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Descripción del proyecto;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;015;17101;61920;2014/007279;2014/007279;IFS-PARQUE MADRID RÍO. ADECUACIÓN TUNEL DE BONAPARTE A NORMATIVA ACCESIBILIDAD;201;CENTRO;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;456,29;456,29;0,00;0,00;456,29;456,29;456,29;0,00;456,29
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;015;17101;61920;2014/007292;2014/007292;IFS-JARDÍN EL CAPRICHO Y ESCALERA NORTE JARDINES DE SABATINI. MUROS PERIMETRALES;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;00;PARQUES;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;654.480,67;654.480,67;0,00;0,00;654.480,67;654.480,67;654.480,67;0,00;654.480,67
;;001;015;17101;61921;2014/000376;2014/000376;ACTUACIONES INVERSIONES FINANCIERAMENTE SOSTENIBLES. PATRIMONIO VERDE;998;VARIOS DISTRITOS;09;MEDIO AMBIENTE;00;PARQUES;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;015;17101;61921;2014/000376;2015/000352;ACTUACIONES MEJORA ZONAS ESTANCIALES PLAZA ENTRE CALLES TENERIFE Y SAN RAIMUNDO;206;TETUAN;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;;;;;;;0,00;7.000,00;7.000,00;0,00;0,00;7.000,00;7.000,00;7.000,00;0,00;7.000,00
;;001;015;17101;61921;2014/007281;2014/007281;PLAZA ENTRE CALLES TENERIFE Y SAN RAIMUNDO. MEJORA ZONAS ESTANCIALES;206;TETUAN;09;MEDIO AMBIENTE;01;ZONAS AJARDINADAS;;;;;;;0,00;10.000,00;10.000,00;4.042,70;0,00;5.957,30;5.957,30;5.957,30;0,00;5.957,30
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;032;13000;63200;2014/000393;2014/000393;PARQUE DE BOMBEROS Nº 1. OBRAS DE REFORMA DE CLIMATIZACIÓN Y CUBIERTAS;207;CHAMBERI;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;0,00;49.188,41;49.188,41;0,00;0,00;49.188,41;49.188,41;49.188,41;0,00;49.188,41
;;001;032;13001;62500;2015/000180;2015/000180;EQUIPAMIENTO CENTRO INTEGRAL DE SEGURIDAD Y EMERGENCIAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2.000,00;0,00;2.000,00;804,04;0,00;1.195,96;1.195,96;0,00;0,00;0,00
;;001;032;13001;62599;2015/000307;2015/000307;CENTRO INTEGRAL DE FORMACIÓN DE SEGURIDAD Y EMERGENCIAS (CIFSE).EQUIPAMIENTO;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;0,00;1.050,00;1.050,00;4,10;0,00;1.045,90;1.045,90;1.045,90;0,00;1.045,90
;;001;032;13001;62600;2015/000180;2015/000180;EQUIPAMIENTO CENTRO INTEGRAL DE SEGURIDAD Y EMERGENCIAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7.000,00;0,00;7.000,00;7.000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;032;13001;62601;2015/000180;2015/000180;EQUIPAMIENTO CENTRO INTEGRAL DE SEGURIDAD Y EMERGENCIAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;6.000,00;0,00;6.000,00;6.000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;032;13001;63200;2015/000157;2015/000157;CENTRO INTEGRAL DE SEGURIDAD Y EMERGENCIAS. SISTEMA DOMÓTICO DEL EDIFICIO;210;LATINA;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;40.000,00;0,00;40.000,00;28.413,86;0,00;11.586,14;11.586,14;11.586,14;0,00;11.586,14
;;001;032;13001;64100;2015/000181;2015/000181;RECURSOS HUMANOS SEGURIDAD. SOFTWARE SIMULADORES DE TIRO Y CONDUCCIÓN BOMBEROS;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;350.000,00;-61.191,00;288.809,00;279.206,91;0,00;9.602,09;9.602,09;9.602,09;0,00;9.602,09
;;001;032;13201;62300;2015/000170;2015/000170;RADAR MULTICARRIL PARA M-30. SERVICIOS DE POLICÍA MUNICIPAL;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;90.000,00;0,00;90.000,00;90.000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;032;13201;62300;2015/000359;2015/000359;MAQUINARIA PARA LOS SERVICIOS DE POLICÍA MUNICIPAL;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;7.974,00;7.974,00;97,26;0,00;7.876,74;7.876,74;7.876,74;0,00;6.509,44
;;001;035;15103;63200;2011/000281;2015/000586;BIBLIOTECA PÚBLICA LA CHATA. ADOPCIÓN MEDIDAS DE SEGURIDAD;211;CARABANCHEL;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;4.053,98;4.053,98;0,00;0,00;4.053,98;4.053,98;0,00;0,00;0,00
;;001;035;15105;60000;2011/000277;2011/000277;DERRIBOS EN ÁMBITOS DE EXPROPIACIÓN;998;VARIOS DISTRITOS;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;;;;;;;0,00;591.852,54;591.852,54;591.852,54;0,00;0,00;0,00;0,00;0,00;0,00
;;001;035;15105;60000;2011/000277;2014/000450;DEMOLICIÓN EDIFICACIONES C/ PÁRROCO EUSEBIO CUENCA FRENTE AL Nº 54-58;202;ARGANZUELA;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;;;;;;;0,00;1.657,13;1.657,13;0,00;0,00;1.657,13;1.657,13;0,00;0,00;0,00
;;001;035;15105;60000;2011/000277;2014/000460;DEMOLICIÓN EDIFICACIONES C/ MUNTADAS Y C/ JOAQUÍN TURINA;210;LATINA;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;;;;;;;0,00;186,47;186,47;0,00;0,00;186,47;186,47;0,00;0,00;0,00
;;001;035;15105;60000;2011/000277;2015/000370;DEMOLICIÓN Y CERRAMIENTO SOLAR MUNICIPAL C/ HACIENDA DE PAVONES, 202;214;MORATALAZ;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;;;;;;;0,00;46,71;46,71;0,00;0,00;46,71;46,71;0,00;0,00;0,00
;;001;035;15105;60000;2011/000277;2015/000420;DEMOLICIÓN EDIFICACIONES C/ FUNDADORES, 26;204;SALAMANCA;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;;;;;;;0,00;26.061,22;26.061,22;0,00;0,00;26.061,22;26.061,22;25.862,25;0,00;25.862,25
;;001;035;15105;60000;2011/000277;2015/000421;DEMOLICIÓN EDIFICACIONES C/ RAMBLA, 13 Y C/ JOAQUÍN IBARRA, 32, 34 Y 36;221;BARAJAS;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;;;;;;;0,00;88.493,17;88.493,17;0,00;0,00;88.493,17;88.493,17;88.016,23;0,00;88.016,23
;;001;035;15105;60000;2011/000277;2015/000435;DEMOLICIONES C/VERDE VIENTO C/V PºPLATA Y CASTAÑAR, C/BAJAMAR Y C/CAMBORIO;217;VILLAVERDE;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;;;;;;;0,00;267.319,64;267.319,64;0,00;0,00;267.319,64;267.319,64;266.673,15;0,00;266.673,15
;;001;035;15105;60000;2015/000442;2015/000442;ADQUISICIÓN DE SUELO AV. DEL LLANO CASTELLANO;208;FUENCARRAL-EL PARDO;06;URBANISMO;00;ADQUISICIÓN DE SUELO PARA INFRAESTRUCTURAS Y USO G;;;;;;;0,00;419.513,79;419.513,79;419.513,79;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33601;62301;2015/000248;2015/000248;BIBLIOTECA MARIO VARGAS LLOSA. INSTALACIÓN ALARMA;201;CENTRO;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;4.131,00;4.131,00;0,57;0,00;4.130,43;4.130,43;4.130,43;0,00;4.130,43
;;001;065;33601;62301;2015/000249;2015/000249;BIBLIOTECA ORCASUR. INSTALACIÓN DE ALARMA;212;USERA;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;4.433,00;4.433,00;0,62;0,00;4.432,38;4.432,38;4.432,38;0,00;4.432,38
;;001;065;33601;62301;2015/000250;2015/000250;EDIFICIO HERMANOS ALVAREZ QUINTERO, 3. INSTALACIÓN DE ALARMA;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;4.630,00;4.630,00;0,56;0,00;4.629,44;4.629,44;4.629,44;0,00;4.629,44
;;001;065;33601;62301;2015/000490;2015/000490;CENTRO CULTURAL CONDE DUQUE. SISTEMA DE VIDEOVIGILANCIA;201;CENTRO;10;CULTURA;03;CENTROS CULTURALES;;;;;;;0,00;8.600,00;8.600,00;19,88;0,00;8.580,12;8.580,12;8.580,12;0,00;0,00
;;001;065;33601;62901;2015/000150;2015/000150;SEÑALIZACIÓN ESPACIOS CULTURALES AL AIRE LIBRE;998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;05;CALIDAD DEL PAISAJE URBANO;;;;;;;15.000,00;-14.677,54;322,46;322,46;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33601;62901;2015/000150;2015/010150;MUSEO DE ESCULTURA AL AIRE LIBRE DE LA CASTELLANA. SEÑALIZACIÓN;204;SALAMANCA;08;MANTENIMIENTO URBANO;05;CALIDAD DEL PAISAJE URBANO;;;;;;;0,00;14.677,54;14.677,54;0,00;0,00;14.677,54;14.677,54;14.677,54;0,00;14.677,54
;;001;065;33601;63200;2004/000068;2004/000068;CUARTEL CONDE DUQUE. RESTAURACIÓN;201;CENTRO;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;;;;;;;399.306,00;-230.244,00;169.062,00;55.072,42;0,00;113.989,58;113.989,58;88.140,86;0,00;0,00
;;001;065;33601;63200;2005/000809;2005/000809;"EDIFICIO ""D "" CONJUNTO DAOIZ Y VELARDE REHABILITACIÓN PARA CENTRO CULTURAL";203;RETIRO;10;CULTURA;03;CENTROS CULTURALES;;;;;;;496,00;0,00;496,00;0,00;0,00;496,00;496,00;496,00;0,00;0,00
;;001;065;33601;63200;2014/000122;2014/000122;IGLESIA DE LAS MARAVILLAS. RESTAURACIÓN;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;03;EDIFICIOS PARA EL USO GENERAL;;;;;;;1.424.750,00;-334.379,00;1.090.371,00;0,01;549.504,70;540.866,29;540.866,29;540.866,28;0,00;426.962,43
;;001;032;13000;62601;2015/000475;2015/000475;EQUIPAMIENTO SERVICIOS ADMINISTRATIVOS ÁREA SALUD, SEGURIDAD Y EMERGENCIAS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;600,00;600,00;25,85;0,00;574,15;574,15;574,15;0,00;574,15
;;001;032;13000;63200;2013/000283;2013/000283;PARQUE DE BOMBEROS 8, PUENTE DE VALLECAS. OBRAS DE REFORMA;213;PUENTE DE VALLECAS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;1.415.000,00;181.101,58;1.596.101,58;99,49;0,00;1.596.002,09;1.596.002,09;1.596.002,09;0,00;1.596.002,09
;;001;032;13000;63200;2014/000077;2014/000077;EDIFICIOS SERVICIOS DE SEGURIDAD Y EMERGENCIAS. OBRAS DE REFORMA;998;VARIOS DISTRITOS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;750.000,00;-744.563,56;5.436,44;5.436,44;0,00;0,00;0,00;0,00;0,00;0,00
;;001;032;13000;63200;2014/000077;2014/030077;EDIFICIO C/ RONDA DE TOROS, 2, SECCIÓN CANINA POLICÍA MUNICIPAL. OBRAS DE REFORMA;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;60.890,30;60.890,30;0,00;0,00;60.890,30;60.890,30;60.890,29;0,00;60.890,29
;;001;032;13000;63200;2014/000077;2014/070077;EDIFICIO C/ TOMÁS SANZ, 10. OBRAS DE REFORMA;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;11.416,66;11.416,66;0,00;0,00;11.416,66;11.416,66;11.416,66;0,00;11.416,66
;;001;032;13000;63200;2014/000077;2014/080077;EDIFICIO SEDE SAMUR-PROTECCIÓN CIVIL, RONDA PROVINCIAS, 7. ADECUACIÓN ESPACIOS;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;02;SAMUR - PROTECCIÓN CIVIL;;;;;;;0,00;539.635,50;539.635,50;0,00;0,00;539.635,50;539.635,50;516.114,04;0,00;244.167,44
;;001;032;13000;63200;2014/000077;2015/000310;EDIFICIO C/ GANADERÍA, 3. REFORMA Y EXIGENCIAS INSPECCIÓN TÉCNICA DE EDIFICIOS;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;25.801,98;25.801,98;0,00;0,00;25.801,98;25.801,98;25.801,97;0,00;25.801,97
;;001;032;13000;63200;2014/000077;2015/000311;EDIFICIO CARRETERA DEL PARDO, 3. OBRAS REMODELACIÓN DE ALMACÉN;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;9.677,74;9.677,74;0,00;0,00;9.677,74;9.677,74;9.677,74;0,00;9.677,74
;;001;032;13000;63200;2014/000077;2015/000334;UNIDAD INTEGRAL POLICÍA MONCLOA. SUBSANACIÓN DEFICIENCIAS INSPECCIÓN TÉCNICA EDIFICIOS;209;MONCLOA-ARAVACA;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;00;POLICIA MUNICIPAL;;;;;;;0,00;34.505,19;34.505,19;0,00;0,00;34.505,19;34.505,19;34.505,19;0,00;34.505,19
;;001;065;33301;62999;2015/000536;2015/000536;PLANETARIO DE MADRID. EQUIPOS AUDIOVISUALES POLIVALENTES;202;ARGANZUELA;10;CULTURA;04;OTROS CENTROS PARA MANIFESTACIONES CULTURALES;;;;;;;0,00;29.040,00;29.040,00;29.040,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33301;63599;2015/000144;2015/000144;EQUIPAMIENTO MUSEOS DE SAN ISIDRO Y DE ARTE CONTEMPORÁNEO;998;VARIOS DISTRITOS;10;CULTURA;02;MUSEOS Y COLECCIONES;;;;;;;0,00;288,48;288,48;288,48;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33301;63599;2015/000144;2015/010144;EQUIPAMIENTO MUSEO DE SAN ISIDRO, PZA. DE SAN ANDRÉS, 2;201;CENTRO;10;CULTURA;02;MUSEOS Y COLECCIONES;;;;;;;0,00;23.282,52;23.282,52;0,00;0,00;23.282,52;23.282,52;23.282,52;0,00;14.376,92
;;001;065;33405;62500;2015/000148;2015/000148;BANDA SINFÓNICA MUNICIPAL DE MADRID. INSTRUMENTOS MUSICALES, OBRAS MUSICALES Y OTROS ENSERES;998;VARIOS DISTRITOS;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;0,00;3.195,07;3.195,07;0,00;0,00;3.195,07;3.195,07;3.195,07;0,00;3.195,07
;;001;065;33405;62999;2015/000148;2015/000148;BANDA SINFÓNICA MUNICIPAL DE MADRID. INSTRUMENTOS MUSICALES, OBRAS MUSICALES Y OTROS ENSERES;998;VARIOS DISTRITOS;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;7.242,00;0,00;7.242,00;360,25;0,00;6.881,75;6.881,75;6.881,75;0,00;6.881,75
;;001;065;33405;63999;2015/000148;2015/000148;BANDA SINFÓNICA MUNICIPAL DE MADRID. INSTRUMENTOS MUSICALES, OBRAS MUSICALES Y OTROS ENSERES;998;VARIOS DISTRITOS;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;22.985,00;3.170,00;26.155,00;1.859,00;0,00;24.296,00;24.296,00;24.296,00;0,00;24.296,00
;;001;065;33601;60904;2012/000162;2012/000162;ENTORNO DEL MATADERO. OBRAS DE URBANIZACIÓN;202;ARGANZUELA;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;;;;;;;573.881,00;18.430,23;592.311,23;0,03;24.139,65;568.171,55;568.171,55;563.363,79;0,00;473.848,26
1;INCORPORACIONES REMANENTES OBLIGATORIAS;001;065;33601;60904;2012/000162;2012/000162;ENTORNO DEL MATADERO. OBRAS DE URBANIZACIÓN;202;ARGANZUELA;06;URBANISMO;01;URBANIZACIÓN SUELO A CARGO DEL AYUNTAMIENTO;;;;;;;0,00;16.698,10;16.698,10;0,02;0,00;16.698,08;16.698,08;16.698,08;0,00;1.056,54
;;001;065;33601;60912;2014/000119;2014/000119;SEÑALIZACIÓN PEATONAL PARA EL CENTRO HISTÓRICO;998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;05;CALIDAD DEL PAISAJE URBANO;;;;;;;20.000,00;0,00;20.000,00;20.000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33601;60913;2014/000117;2014/000117;PROTOTIPO DE MOBILIARIO URBANO PARA SU HOMOLOGACIÓN;998;VARIOS DISTRITOS;08;MANTENIMIENTO URBANO;05;CALIDAD DEL PAISAJE URBANO;;;;;;;1.000,00;-1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33601;60999;2015/000233;2015/000233;ESCULTURA A BLAS DE LEZO, PZA. DEL DESCUBRIMIENTO. INSTALACIÓN;204;SALAMANCA;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;17.235,97;17.235,97;0,00;0,00;17.235,97;17.235,97;17.235,97;0,00;17.235,97
;;001;065;33601;61900;2014/000120;2014/000120;MONUMENTO A LAS VÍCTIMAS DEL 11-M DE ATOCHA. REFORMA;203;RETIRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;195.000,00;-192.100,00;2.900,00;2.900,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33601;61900;2014/000121;2014/000121;MONUMENTO A ALFONSO XII. RESTAURACIÓN;203;RETIRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;100.000,00;-100.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33601;61900;2014/000123;2014/000123;RESTAURACIÓN DE LA MURALLA ISLÁMICA;201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;462.700,00;23.500,00;486.200,00;519,52;172.407,98;313.272,50;313.272,50;306.312,70;0,00;185.544,67
;;001;065;33601;61900;2015/000149;2015/000149;FUENTE DE LA DIOSA CIBELES. RESTAURACIÓN;203;RETIRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;72.600,00;-51.100,00;21.500,00;21.500,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;065;33601;61900;2015/000489;2015/000489;RESTAURACIÓN DE LA MURALLA CRISTIANA DE MADRID;201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;25.000,00;25.000,00;11.085,00;0,00;13.915,00;13.915,00;13.915,00;0,00;0,00
;;001;065;33601;62200;2006/000765;2006/000765;BIBLIOTECA MUNICIPAL ORCASUR. AMPLIACIÓN;212;USERA;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;1.662,00;5.790,47;7.452,47;0,81;0,00;7.451,66;7.451,66;5.790,47;0,00;5.790,47
;;001;065;33601;62200;2009/000430;2009/000430;BIBLIOTECA MUNICIPAL EN BARRIO DE SAN FERMÍN. CONSTRUCCIÓN;212;USERA;10;CULTURA;00;BIBLIOTECAS Y PATRIMONIO BIBLIOGRÁFICO;;;;;;;0,00;25.000,00;25.000,00;8.000,00;0,00;17.000,00;17.000,00;17.000,00;0,00;0,00
;;001;032;13610;63500;2015/000166;2015/070166;EQUIPAMIENTO PARQUE DE BOMBEROS Nº 6, C/ IMPERIAL, 8;201;CENTRO;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;0,00;787,71;787,71;0,00;0,00;787,71;0,00;0,00;0,00;0,00
;;001;032;13610;63500;2015/000166;2015/080166;EQUIPAMIENTO PARQUE DE BOMBEROS Nº 8, C/ PÍO FELIPE, 24;213;PUENTE DE VALLECAS;01;PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA;01;BOMBEROS;;;;;;;0,00;787,71;787,71;0,00;0,00;787,71;0,00;0,00;0,00;0,00
